target,n,lags,annual_alpha_pct,alpha_ci_low_pct,alpha_ci_high_pct,alpha_p,r_squared,residual_annual_vol_pct,standardized_design_condition,alpha_q,dataset,sample
Equity-derived,161,6,0.9873937710709362,-0.21787974572708313,2.1926672878689555,0.10834274027934786,0.4897269379891661,1.7054179524131008,6.764259212025084,0.21668548055869571,ICE,Development
Equity momentum,161,6,3.810548881735372,1.286917689093126,6.334180074377619,0.003081429446482722,0.6869825890174482,4.378638682675192,6.764259212025084,0.012325717785930888,ICE,Development
Equity value,161,6,-0.8175087110631082,-2.592271252775966,0.9572538306497499,0.366613671528896,0.7003137957195813,4.123151683240767,6.764259212025084,0.4888182287051947,ICE,Development
Equity profitability,161,6,-0.03085885745945573,-2.1299528036629125,2.068235088744001,0.9770129094256297,0.525155934894168,3.4850518291313337,6.764259212025084,0.9770129094256297,ICE,Development
Equity-derived,161,12,0.9873937710709362,-0.15019744313046157,2.124984985272334,0.08890187076765672,0.4897269379891661,1.7054179524131008,6.764259212025084,0.17780374153531345,ICE,Development
Equity momentum,161,12,3.810548881735372,1.488859657970791,6.132238105499953,0.00129577192335968,0.6869825890174482,4.378638682675192,6.764259212025084,0.00518308769343872,ICE,Development
Equity value,161,12,-0.8175087110631082,-2.284524172533884,0.6495067504076676,0.274732385929099,0.7003137957195813,4.123151683240767,6.764259212025084,0.36630984790546534,ICE,Development
Equity profitability,161,12,-0.03085885745945573,-2.039159985848115,1.9774422709292034,0.9759739987660975,0.525155934894168,3.4850518291313337,6.764259212025084,0.9759739987660975,ICE,Development
Equity-derived,70,3,0.3437140736704764,-0.1958612272159433,0.8832893745568962,0.21183456435787773,0.6711885342472085,0.7505941123539237,10.731615161482646,0.21183456435787773,ICE,Evaluation
Equity momentum,70,3,3.669365091251932,1.6153751635212403,5.723355018982624,0.00046272318300832676,0.8776567096563769,2.4573240332377297,10.731615161482646,0.0015571269334157436,ICE,Evaluation
Equity value,70,3,-1.7255731040102567,-2.7320659205658764,-0.7190802874546371,0.0007785634667078718,0.9208311239636929,1.7628837938084545,10.731615161482646,0.0015571269334157436,ICE,Evaluation
Equity profitability,70,3,-0.912649766230246,-1.8833007871217315,0.05800125466123951,0.06534650464628851,0.6343379326334186,1.280076302757695,10.731615161482646,0.087128672861718,ICE,Evaluation
Equity-derived,70,6,0.3437140736704764,-0.20385189156783673,0.8912800389087896,0.21857851046924226,0.6711885342472085,0.7505941123539237,10.731615161482646,0.21857851046924226,ICE,Evaluation
Equity momentum,70,6,3.669365091251932,1.6684391227893896,5.670291059714475,0.00032524779990374814,0.8776567096563769,2.4573240332377297,10.731615161482646,0.0006504955998074963,ICE,Evaluation
Equity value,70,6,-1.7255731040102567,-2.539628724362461,-0.9115174836580521,3.257734122017831e-05,0.9208311239636929,1.7628837938084545,10.731615161482646,0.00013030936488071324,ICE,Evaluation
Equity profitability,70,6,-0.912649766230246,-1.865155904838914,0.03985637237842199,0.060383030249607346,0.6343379326334186,1.280076302757695,10.731615161482646,0.08051070699947646,ICE,Evaluation
Equity-derived,70,12,0.3437140736704764,-0.24062037303312428,0.9280485203740771,0.248951150528407,0.6711885342472085,0.7505941123539237,10.731615161482646,0.248951150528407,ICE,Evaluation
Equity momentum,70,12,3.669365091251932,1.6719032492129802,5.666826933290884,0.0003175482129305638,0.8776567096563769,2.4573240332377297,10.731615161482646,0.0006350964258611276,ICE,Evaluation
Equity value,70,12,-1.7255731040102567,-2.5147105909610525,-0.9364356170594608,1.820434686743514e-05,0.9208311239636929,1.7628837938084545,10.731615161482646,7.281738746974056e-05,ICE,Evaluation
Equity profitability,70,12,-0.912649766230246,-1.744557752922085,-0.080741779538407,0.03153702325881017,0.6343379326334186,1.280076302757695,10.731615161482646,0.04204936434508023,ICE,Evaluation
